name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,N,C,70,4,1,130,10,5,6,280,25,3,1,0,68.4
100% Natural Bran,Q,C,120,3,5,15,2,8,8,135,0,3,1,1,34.0
All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0,59.4
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,330,25,3,1,1,93.7
Almond Delight,R,C,110,2,2,200,1,14,8,-1,25,3,1,1,34.4
Apple Cinnamon Cheerios,G,C,110,2,2,180,2,11,10,70,25,1,1,1,29.5
Apple Jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.2
Basic 4,G,C,130,3,2,210,2,18,8,100,25,3,1,1,37.0
Bran Chex,R,C,90,2,1,200,4,15,6,125,25,1,1,1,49.1
Bran Flakes,P,C,90,3,0,210,5,13,5,190,25,3,1,1,53.3
Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,25,2,1,1,18.0
Cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1,1,50.8
Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,45,25,2,1,1,19.8
Clusters,G,C,110,3,2,140,2,13,7,105,25,3,1,1,40.4
Cocoa Puffs,G,C,110,1,1,180,0,12,13,55,25,2,1,1,22.7
Corn Chex,R,C,110,2,0,280,0,22,3,25,25,1,1,1,41.4
Corn Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,45.9
Corn Pops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,35.8
Count Chocula,G,C,110,1,1,180,0,12,13,65,25,2,1,1,22.4
Cracklin' Oat Bran,K,C,110,3,3,140,4,10,7,160,25,3,1,1,40.4
Cream of Wheat (Quick),N,H,100,3,0,80,1,21,0,-1,0,2,1,1,64.5
Crispix,K,C,110,2,0,220,1,21,3,30,25,3,1,1,46.9
Crispy Wheat & Raisins,G,C,100,2,1,140,2,11,10,120,25,3,1,1,36.2
Double Chex,R,C,100,2,0,190,1,18,5,80,25,3,1,1,44.3
Froot Loops,K,C,110,2,1,125,1,11,13,30,25,2,1,1,32.2
Frosted Flakes,K,C,110,1,0,200,1,14,11,25,25,1,1,1,31.4
Frosted Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,2,1,1,58.3
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,160,5,12,10,200,25,3,1,1,40.9
Fruitful Bran,K,C,120,3,0,240,5,14,12,190,25,3,1,1,41.0
Fruity Pebbles,P,C,110,1,1,135,0,13,12,25,25,2,1,1,28.0
Golden Crisp,P,C,100,2,0,45,0,11,15,40,25,1,1,1,35.3
Golden Grahams,G,C,110,1,1,280,0,15,9,45,25,2,1,1,23.8
Grape Nuts Flakes,P,C,100,3,1,140,3,15,5,85,25,3,1,1,52.1
Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,3,1,0,53.4
Great Grains Pecan,P,C,120,3,3,75,3,13,4,100,25,3,1,0,45.8
Honey Graham Ohs,Q,C,120,1,2,220,1,12,11,45,25,2,1,1,21.9
Honey Nut Cheerios,G,C,110,3,1,250,2,12,10,90,25,1,1,1,31.1
Honey-comb,P,C,110,1,0,180,0,14,11,35,25,1,1,1,28.7
Just Right Crunchy  Nuggets,K,C,110,2,1,170,1,17,6,60,100,3,1,1,36.5
Just Right Fruit & Nut,K,C,140,3,1,170,2,20,9,95,100,3,1,1,36.5
Kix,G,C,110,2,1,260,0,21,3,40,25,2,1,2,39.2
Life,Q,C,100,4,2,150,2,12,6,95,25,2,1,1,45.3
Lucky Charms,G,C,110,2,1,180,0,12,12,55,25,2,1,1,26.7
